instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,finsteps123,120,,,,,error,false
InstanceA10,ti,finsteps123,120,.986375800,121.560531242,22,,time,True
InstanceA11,ti,finsteps123,120,,,,,error,false
InstanceA12,ti,finsteps123,120,,,,,error,false
InstanceA2,ti,finsteps123,120,,,,,error,false
InstanceA3,ti,finsteps123,120,,,,,error,false
InstanceA4,ti,finsteps123,120,,,,,error,false
InstanceA5,ti,finsteps123,120,,,,,error,false
InstanceA6,ti,finsteps123,120,.431141686,120.580106453,9,,time,True
InstanceA7,ti,finsteps123,120,.317614319,120.460735498,8,,time,True
InstanceA8,ti,finsteps123,120,,,,,error,false
InstanceA9,ti,finsteps123,120,,,,,error,false
InstanceB1,ti,finsteps123,120,,,,,error,false
InstanceB10,ti,finsteps123,120,.248445376,15.641962392,8,,integer,True
InstanceB11,ti,finsteps123,120,,,,,error,false
InstanceB12,ti,finsteps123,120,,,,,error,false
InstanceB2,ti,finsteps123,120,,,,,error,false
InstanceB3,ti,finsteps123,120,.246425743,120.470217175,6,,time,True
InstanceB4,ti,finsteps123,120,,,,,error,false
InstanceB5,ti,finsteps123,120,.307423061,10.381571272,9,,integer,True
InstanceB6,ti,finsteps123,120,.232516978,13.418612455,2,,integer,True
InstanceB7,ti,finsteps123,120,,,,,error,false
InstanceB8,ti,finsteps123,120,.214546270,2.348392750,10,,integer,True
InstanceB9,ti,finsteps123,120,.284177629,120.517051810,13,,time,True
