instance,solver,cost_type,timeout,build_time,solve_time,cost,gap,status,valid
InstanceA1,ti,infsteps180,120,,,,,error,false
InstanceA10,ti,infsteps180,120,,,,,error,false
InstanceA11,ti,infsteps180,120,,,,,error,false
InstanceA12,ti,infsteps180,120,,,,,error,false
InstanceA2,ti,infsteps180,120,,,,,error,false
InstanceA3,ti,infsteps180,120,,,,,error,false
InstanceA4,ti,infsteps180,120,,,,,error,false
InstanceA5,ti,infsteps180,120,,,,,error,false
InstanceA6,ti,infsteps180,120,,,,,error,false
InstanceA7,ti,infsteps180,120,,,,,error,false
InstanceA8,ti,infsteps180,120,,,,,error,false
InstanceA9,ti,infsteps180,120,,,,,error,false
InstanceB1,ti,infsteps180,120,,,,,error,false
InstanceB10,ti,infsteps180,120,,,,,error,false
InstanceB11,ti,infsteps180,120,,,,,error,false
InstanceB12,ti,infsteps180,120,,,,,error,false
InstanceB2,ti,infsteps180,120,,,,,error,false
InstanceB3,ti,infsteps180,120,,,,,error,false
InstanceB4,ti,infsteps180,120,,,,,error,false
InstanceB5,ti,infsteps180,120,.321431708,120.556298410,12,,time,True
InstanceB6,ti,infsteps180,120,.225149910,31.496394428,5,,integer,True
InstanceB7,ti,infsteps180,120,,,,,error,false
InstanceB8,ti,infsteps180,120,,,,,error,false
InstanceB9,ti,infsteps180,120,,,,,error,false
